text,label
Let ' s go now .,FOLLOWER
I have to go to practice .,FOLLOWER
I would like to register for a class today .,LEADER
Come and help,LEADER
I'm looking for some material for a paper I'm writing  and I'm not quite sure where to look .,LEADER
Can I stop by ?,FOLLOWER
I feel like going for a drink,FOLLOWER
How about the new bar across road ?,FOLLOWER
Where shall I meet you ?,LEADER
let's go to a car dealership .,FOLLOWER
We could drive to the 24 - hour store on sixth .,FOLLOWER
Where are we off to ?,LEADER
First we will go to the city centre and stop for something to drink .,FOLLOWER
Where are we going to have a drink ?,LEADER
How far is the museum ?,LEADER
We will ask for directions in the coffee shop .,LEADER
You find us a table and I'll get the drinks .,LEADER
How about going to the cinema tonight ?,FOLLOWER
Find out where the nearest tattoo parlor is,LEADER
you're welcome to join us .,FOLLOWER
let's go down together .,FOLLOWER
Step into my office for a moment .,FOLLOWER
I want a pair of locus .,LEADER
I'm in the kitchen ... let yourself in !,FOLLOWER
you are to jog before breakfast .,FOLLOWER
Then  you are to walk to work .,LEADER
I suppose I should go to see a doctor .,FOLLOWER
Do you feel like going boating with me ?,FOLLOWER
how do you usually get to school ?,LEADER
I usually ride my bike .,FOLLOWER
Can you help find a place to eat?,LEADER
I am looking to eat somewhere,FOLLOWER
Let's go on the computer to see what's up,FOLLOWER
Could I see the manager please ? I have a complaint to make,LEADER
Excuse me.Where do I register?,LEADER
I ’ m going to the hospital,FOLLOWER
After you .,LEADER
Let's buy some flowers  and pay her a visit,FOLLOWER
Where should I sit ?,LEADER
Will you go with me ?,FOLLOWER
Where is Tom ?,LEADER
I need to grab something to eat .,FOLLOWER
Could you help me ? I can't seem to find my class,LEADER
I'm expected to attend a meeting .,FOLLOWER
Excuse me . I wonder see Dean Mr . Lee first . I was wondering if could you tell me where his office is ?,LEADER
We'll have rice dumplings,FOLLOWER
I  came to see my uncle,LEADER
I've got to run,FOLLOWER
we will need to find a new place to stay .,LEADER
I'm feeling hungry,FOLLOWER
Hi  could you help me find a place where I could buy some lunch ?,LEADER
I want to buy a gift for my father . Will you go with me to choose one for him,FOLLOWER
I was looking for a book  but I couldn ’ t find it .,LEADER
I'll accompany my wife to the hospital,FOLLOWER
Do you know what building that it's in,LEADER
let's go out for a walk,FOLLOWER
Do you want to come ?,FOLLOWER
Where are you headed today ?,LEADER
Where are you going now?,LEADER
I'd like to go to Tianjin,LEADER
I'm going to YY's,FOLLOWER
I think I'll join you,LEADER
I'm going downstairs for more drinking water,FOLLOWER
let ’ s go and get a coffee together,FOLLOWER
Are you going out again ?,LEADER
Do you want to go first  ?,LEADER
I often go to a place of leisure,FOLLOWER
Do you know how to get there ?,LEADER
Come on in .,FOLLOWER
I'll show you there if you want to .,FOLLOWER
Will you come shopping with me ?,FOLLOWER
We'd better get back to work .,FOLLOWER
Do you want to go with me ?,FOLLOWER
You gotta help me !,LEADER
I ’ ll take the stairs !,FOLLOWER
You should come with me !,FOLLOWER
So where should we go ?,LEADER
I will go out to have a visit to my aunt .,FOLLOWER
