text,label
I'm ready to leave when you are.,FOLLOWER
Alright let's get moving.,FOLLOWER
Shall we head out now?,FOLLOWER
Okay I'm prepared to go.,FOLLOWER
We can start heading over anytime.,FOLLOWER
Ready to set off?,FOLLOWER
I need to get to my practice session.,FOLLOWER
My destination is the practice field.,FOLLOWER
Could you lead me to practice?,FOLLOWER
It's time for me to head to my training.,FOLLOWER
I'm supposed to be at practice now.,FOLLOWER
Can we please proceed to my practice?,FOLLOWER
Can you show me where I can sign up for a course?,LEADER
Please guide me to the class registration area.,LEADER
I need to enroll in a class today; can you assist?,LEADER
Where do I need to go to enroll in a course?,LEADER
Help me find the place to sign up for classes.,LEADER
I'm here to enroll in a new class.,LEADER
I need your assistance over here.,LEADER
Could you come here and give me a hand?,LEADER
Please come over I require some help.,LEADER
I need some help please come to my location.,LEADER
Can you come here and assist me?,LEADER
Over here I could use your help.,LEADER
Can you help me locate resources for my research paper?,LEADER
I need to find sources for my paper but I'm lost.,LEADER
Please direct me to the materials for my writing project.,LEADER
Where can I find the information I need for the paper I'm working on?,LEADER
I'm unsure where to find the right materials for my essay can you show me?,LEADER
Could you point me toward the resources for a paper I'm writing?,LEADER
Is it okay if we make a quick stop here?,FOLLOWER
Would it be possible to pause here for a moment?,FOLLOWER
Do we have time for me to pop in here quickly?,FOLLOWER
I'd like to make a brief stop is that alright?,FOLLOWER
Could we take a short break at this spot?,FOLLOWER
Would you mind if I just stopped here for a second?,FOLLOWER
I'd like to go get a beverage.,FOLLOWER
Can you take me somewhere we can get a drink?,FOLLOWER
I'm in the mood for a drink right now.,FOLLOWER
Let's find a place to have a drink.,FOLLOWER
I could really go for something to drink.,FOLLOWER
My goal is to find a place for a drink.,FOLLOWER
Maybe we could check out the new bar across the street?,FOLLOWER
What do you think about going to that new bar over there?,FOLLOWER
There's a new bar right across the road should we go?,FOLLOWER
Should we try the new bar on the other side of the street?,FOLLOWER
I noticed a new bar over there want to try it?,FOLLOWER
Let's consider the new bar that's just across the way.,FOLLOWER
Please specify our meeting point.,LEADER
Tell me the location where we should connect.,LEADER
Where is our designated rendezvous spot?,LEADER
At what location are we supposed to meet?,LEADER
Let me know where I need to go to find you.,LEADER
Which place should I head to for our meeting?,LEADER
I want to go to a car dealership.,FOLLOWER
Can you take me to a place that sells cars?,FOLLOWER
My destination is a car dealership.,FOLLOWER
Let's head over to a car dealership.,FOLLOWER
I need to visit a car dealership.,FOLLOWER
Please lead the way to a car dealership.,FOLLOWER
How about we head to the 24-hour store on Sixth Street?,FOLLOWER
Maybe we should go to the all-night store on Sixth.,FOLLOWER
I suggest we go to the 24-hour shop over on Sixth.,FOLLOWER
What if we went to the store on Sixth that's always open?,FOLLOWER
An option is the 24-hour store on Sixth.,FOLLOWER
Let's consider going to the 24-hour store on Sixth.,FOLLOWER
What is our destination today?,LEADER
Please tell me where you'd like to go.,LEADER
Where should I take you?,LEADER
What's the plan? Where are we headed?,LEADER
Let me know our destination.,LEADER
Where will we be going?,LEADER
The plan is to head to the city centre first for a drink.,FOLLOWER
I'd like to go to the city centre and get a drink there.,FOLLOWER
Our first stop is the city centre for a beverage.,FOLLOWER
Let's go downtown and grab a drink to start.,FOLLOWER
I want to go into the city centre and then stop for a drink.,FOLLOWER
The initial destination is the city centre where we'll get a drink.,FOLLOWER
Which place would you like to go to for a drink?,LEADER
Where should I take you to get a drink?,LEADER
Please specify a location for our drink stop.,LEADER
What's the destination for our drink?,LEADER
Let me know which bar or cafe you have in mind.,LEADER
You mentioned a drink where should we go for it?,LEADER
What is the distance to the museum?,LEADER
