text,label
Let's get moving.,FOLLOWER
We should head out now.,FOLLOWER
It's time to go.,FOLLOWER
We ought to leave.,FOLLOWER
Shall we proceed?,FOLLOWER
We can go now.,FOLLOWER
I need to get to my practice session.,FOLLOWER
My practice is starting I should go.,FOLLOWER
I'm expected at practice.,FOLLOWER
I have a practice to attend.,FOLLOWER
I must leave for practice.,FOLLOWER
It's time for my practice.,FOLLOWER
I want to sign up for a class today.,LEADER
I'd like to enroll in a class today.,LEADER
I'm hoping to register for a class today.,LEADER
My intention is to register for a class today.,LEADER
I need to get registered for a class today.,LEADER
Signing me up for a class today is what I'd like to do.,LEADER
I need your assistance.,LEADER
Could you come help me?,LEADER
Your help is required.,LEADER
Please come and lend a hand.,LEADER
I require your help.,LEADER
Can you come and assist me?,LEADER
I need to find sources for a paper but I'm unsure where to search.,LEADER
For a paper I'm writing I need some research materials and I'm lost on where to find them.,LEADER
I'm searching for reference material for my paper and don't know where to look.,LEADER
I require some resources for a paper I'm working on but I'm not certain of their location.,LEADER
Where to look for material for my paper is unclear to me.,LEADER
I'm not sure where to find the information I need for the paper I'm writing.,LEADER
Is it okay if I come by?,FOLLOWER
Would you mind if I dropped in?,FOLLOWER
May I pay a visit?,FOLLOWER
Is a quick visit acceptable?,FOLLOWER
Could I stop in for a moment?,FOLLOWER
Do you mind if I swing by?,FOLLOWER
I'm in the mood for a drink.,FOLLOWER
I fancy going to get a drink.,FOLLOWER
A drink sounds good right now.,FOLLOWER
I feel like having a drink.,FOLLOWER
I could go for a drink.,FOLLOWER
Going for a drink appeals to me.,FOLLOWER
What do you think about the new bar on the other side of the road?,FOLLOWER
Shall we try the new bar across the street?,FOLLOWER
The new bar opposite looks interesting doesn't it?,FOLLOWER
Maybe we could check out the new bar across the road?,FOLLOWER
How does the new bar across the street sound?,FOLLOWER
I'm considering the new bar across the road.,FOLLOWER
What is our meeting point?,LEADER
Tell me where to meet you.,LEADER
At which location should I meet you?,LEADER
Specify the meeting place.,LEADER
Where would you like to meet?,LEADER
What's the designated meeting spot?,LEADER
We should visit a car dealership.,FOLLOWER
I think we should go to a car dealership.,FOLLOWER
How about we head to a car dealership?,FOLLOWER
A trip to a car dealership is what I'm suggesting.,FOLLOWER
Let's check out a car dealership.,FOLLOWER
I propose we go to a car dealership.,FOLLOWER
We could take a drive to the 24-hour store on Sixth Street.,FOLLOWER
How about we drive to the all-night store on sixth?,FOLLOWER
Let's head to the 24-hour shop on Sixth Avenue.,FOLLOWER
We can go by car to the store on sixth that's open 24 hours.,FOLLOWER
I suggest driving to the sixth street convenience store that's always open.,FOLLOWER
The 24-hour store on sixth is an option we could drive to.,FOLLOWER
What is our destination?,LEADER
Where are we headed?,LEADER
What's our intended location?,LEADER
Tell me where we are going.,LEADER
What is the place we are going to?,LEADER
Where is our journey taking us?,LEADER
Our first stop will be the city centre for a drink.,FOLLOWER
Let's first go downtown and get a drink.,FOLLOWER
I think we should head to the city centre first and grab a beverage.,FOLLOWER
First we'll make our way to the city centre and take a break for a drink.,FOLLOWER
The initial plan is to go to the city centre and stop for a drink.,FOLLOWER
We can start by going to the city centre and pausing for a drink.,FOLLOWER
At which place shall we have a drink?,LEADER
Where should we go for our drinks?,LEADER
Decide on a location for us to have a drink.,LEADER
What is the venue for our drink?,LEADER
Tell me the spot where we will have a drink.,LEADER
Where will we be stopping for a beverage?,LEADER
What is the distance to the museum?,LEADER
Can you tell me how far the museum is?,LEADER
How many miles away is the museum?,LEADER
What's the museum's distance from here?,LEADER
I need to know the distance to the museum.,LEADER
How remotely located is the museum?,LEADER
We can ask for directions inside the coffee shop.,LEADER
Let's inquire about directions at the coffee shop.,LEADER
We'll get directions from the coffee shop.,LEADER
We should ask for guidance in the café.,LEADER
We can request directions when we're in the coffee shop.,LEADER
The coffee shop is where we will ask for directions.,LEADER
You locate a table for us and I will obtain the drinks.,LEADER
Your task is to find a table while I get the beverages.,LEADER
Please find us a table and I'll handle getting the drinks.,LEADER
Secure a table for us and I'll be responsible for the drinks.,LEADER
You get us a table and I'll go for the drinks.,LEADER
I'll get the drinks if you can find us a table.,LEADER
What do you think about going to the movies tonight?,FOLLOWER
Would you like to go to the cinema this evening?,FOLLOWER
I suggest a trip to the cinema tonight.,FOLLOWER
How does a cinema visit tonight sound?,FOLLOWER
Maybe we could go to the cinema tonight.,FOLLOWER
We could consider going to the movies tonight.,FOLLOWER
Locate the nearest tattoo parlor for us.,LEADER
Find the closest tattoo shop.,LEADER
You need to find where the nearest tattoo parlor is.,LEADER
Identify the location of the closest tattoo parlor.,LEADER
Discover where the nearest tattoo parlor is situated.,LEADER
Look up the whereabouts of the closest tattoo shop.,LEADER
Feel free to come with us.,FOLLOWER
We'd be happy to have you join us.,FOLLOWER
You are invited to accompany us.,FOLLOWER
We'd love for you to come along.,FOLLOWER
Please join us if you'd like.,FOLLOWER
It would be nice if you joined us.,FOLLOWER
We should head down together.,FOLLOWER
Shall we go down as a group?,FOLLOWER
Let's proceed downstairs together.,FOLLOWER
We can make our way down together.,FOLLOWER
I think we should go down at the same time.,FOLLOWER
Why don't we go down together?,FOLLOWER
Come into my office for a minute.,FOLLOWER
Why don't you step inside my office briefly?,FOLLOWER
Please come into my office for a moment.,FOLLOWER
I'd like you to come into my office for a bit.,FOLLOWER
Could you pop into my office for a quick moment?,FOLLOWER
Let's step into my office for a short while.,FOLLOWER
I need a pair of locus.,LEADER
I require a pair of locus.,LEADER
Get me a pair of locus.,LEADER
I'd like to obtain a pair of locus.,LEADER
My objective is to acquire a pair of locus.,LEADER
Please find me a pair of locus.,LEADER
I'm in the kitchen just come on in!,FOLLOWER
Come right in I'm in the kitchen.,FOLLOWER
I'm in the kitchen feel free to enter.,FOLLOWER
You can let yourself in; I'm in the kitchen.,FOLLOWER
I'm in the kitchen the door is open.,FOLLOWER
Just walk in I'm in the kitchen.,FOLLOWER
You should go for a jog before breakfast.,FOLLOWER
I think you ought to jog before eating breakfast.,FOLLOWER
It would be good if you went for a run before breakfast.,FOLLOWER
Your plan is to jog prior to having breakfast.,FOLLOWER
You're scheduled to jog before your morning meal.,FOLLOWER
A pre-breakfast jog is what you should do.,FOLLOWER
Next you will walk to work.,LEADER
After that your instruction is to walk to work.,LEADER
Then proceed to work on foot.,LEADER
Your next task is to walk to your workplace.,LEADER
Following that you are to travel to work by walking.,LEADER
Then make your way to work by foot.,LEADER
I guess I should probably see a doctor.,FOLLOWER
I think it would be wise for me to visit a doctor.,FOLLOWER
Perhaps I ought to go to the doctor.,FOLLOWER
Maybe I should schedule a doctor's appointment.,FOLLOWER
It might be a good idea for me to see a doctor.,FOLLOWER
I feel like I should consult a doctor.,FOLLOWER
Would you be interested in going boating with me?,FOLLOWER
How about joining me for some boating?,FOLLOWER
Would you like to go out on a boat with me?,FOLLOWER
I'd love it if you came boating with me.,FOLLOWER
Do you want to go boating together?,FOLLOWER
Care to join me for a boat trip?,FOLLOWER
What's your usual method of getting to school?,LEADER
How do you typically travel to school?,LEADER
What transportation do you normally use to reach school?,LEADER
Tell me your regular way of getting to school.,LEADER
What's your standard route to school?,LEADER
How are you usually commuting to school?,LEADER
I typically cycle.,FOLLOWER
My usual mode of transport is my bicycle.,FOLLOWER
I most often ride my bike.,FOLLOWER
I generally use my bicycle to get around.,FOLLOWER
Biking is my normal method.,FOLLOWER
I commute by bicycle as a rule.,FOLLOWER
I need you to locate a restaurant for us.,LEADER
Please find us a place to eat.,LEADER
Could you help me find somewhere to dine?,LEADER
Your task is to find an eating establishment.,LEADER
I require your assistance in finding a restaurant.,LEADER
Can you search for a good place to eat?,LEADER
I'd like to find somewhere to have a meal.,FOLLOWER
I'm hoping to get something to eat.,FOLLOWER
I want to find a place to eat.,FOLLOWER
I'm trying to locate a restaurant.,FOLLOWER
I need to find somewhere to dine.,FOLLOWER
I'm in search of a place to eat.,FOLLOWER
We should check the computer to see what's happening.,FOLLOWER
Let's look on the computer to see what's going on.,FOLLOWER
Why don't we check the computer for updates?,FOLLOWER
We could use the computer to see current information.,FOLLOWER
I suggest we check the computer to see the situation.,FOLLOWER
Let's see what's happening by looking on the computer.,FOLLOWER
I need to speak with the manager to file a complaint.,LEADER
May I see the manager? I have an issue to discuss.,LEADER
I'd like to speak to the manager about a complaint.,LEADER
Could you bring the manager? I need to make a complaint.,LEADER
I require the manager's attention to lodge a complaint.,LEADER
Please get the manager for me; I have a complaint.,LEADER
Pardon me where is the registration area?,LEADER
Excuse me could you direct me to registration?,LEADER
I need to know where to register.,LEADER
Where is the sign-up location?,LEADER
Could you show me where registration takes place?,LEADER
Excuse me where should I go to register?,LEADER
I'm heading to the hospital.,FOLLOWER
I need to go to the hospital.,FOLLOWER
I'll be making my way to the hospital.,FOLLOWER
