text,label
"Let's move now.",FOLLOWER
"Time to get going.",FOLLOWER
"Let's head out right away.",FOLLOWER
"We should leave now.",FOLLOWER
"How about we go now?",FOLLOWER
"Let's start moving.",FOLLOWER
"I need to head to practice.",FOLLOWER
"I'm off to my training now.",FOLLOWER
"I’ve got to go train.",FOLLOWER
"I have practice to attend.",FOLLOWER
"I’m going to my practice session.",FOLLOWER
"I should go to my practice now.",FOLLOWER
"I’d like to sign up for a class today.",LEADER
"I want to enroll in a course today.",LEADER
"I plan to register for a class today.",LEADER
"I’d like to get registered for a course now.",LEADER
"I need to sign up for a class today.",LEADER
"I’d like to enroll in a lesson today.",LEADER
"Come here and assist me.",LEADER
"I need your help. come over.",LEADER
"Join me and lend a hand.",LEADER
"Could you come and help me out?",LEADER
"Please come and assist.",LEADER
"I could use some help here.",LEADER
"I'm searching for material for my paper and I'm not sure where to begin.",LEADER
"I need some resources for a paper but don’t know where to find them.",LEADER
"I'm trying to locate materials for my research and could use some guidance.",LEADER
"I’m looking for references for my paper but I’m not sure where to start.",LEADER
"I need help finding sources for a paper I’m writing.",LEADER
"I’m unsure where to look for the materials I need for my paper.",LEADER
"Would it be okay if I stop by?",FOLLOWER
"Can I come over for a bit?",FOLLOWER
"Is it alright if I drop in?",FOLLOWER
"Mind if I come by?",FOLLOWER
"Could I visit for a moment?",FOLLOWER
"Can I swing by?",FOLLOWER
"I feel like having a drink.",FOLLOWER
"I’m in the mood for a drink.",FOLLOWER
"I want to go get a drink.",FOLLOWER
"I could use a drink right now.",FOLLOWER
"I’d like to grab a drink.",FOLLOWER
"I feel like going out for a drink.",FOLLOWER
"What about the new bar across the street?",FOLLOWER
"Shall we try the new bar opposite?",FOLLOWER
"How about checking out the bar across the road?",FOLLOWER
"Maybe the new place across the street?",FOLLOWER
"Want to go to the new bar nearby?",FOLLOWER
"Should we go to the bar across the street?",FOLLOWER
"Where do you want me to meet you?",LEADER
"Where should we meet?",LEADER
"At which place shall we meet?",LEADER
"Where’s the best spot to meet you?",LEADER
"Where are we meeting up?",LEADER
"Where do you suggest we meet?",LEADER
"Let's visit a car dealership.",FOLLOWER
"How about going to a car dealer?",FOLLOWER
"Let's head to a car showroom.",FOLLOWER
"We could go to a dealership.",FOLLOWER
"Let's check out some car dealers.",FOLLOWER
"How about visiting a car lot?",FOLLOWER
"We could drive to the 24-hour store on Sixth Street.",FOLLOWER
"Let’s go to the 24-hour shop on Sixth.",FOLLOWER
"We can head to the all-night store on Sixth.",FOLLOWER
"How about we go to the 24-hour market on Sixth?",FOLLOWER
"Let's drive to that store on Sixth that's open all night.",FOLLOWER
"We could go to the 24-hour convenience store on Sixth.",FOLLOWER
"Where are we heading?",LEADER
"Where shall we go next?",LEADER
"Where are we going now?",LEADER
"What’s our next destination?",LEADER
"Where do we plan to head?",LEADER
"Where are we off to next?",LEADER
"First we’ll head to the downtown area and grab a drink.",FOLLOWER
"We’ll go to the city center first and stop for a beverage.",FOLLOWER
"Let’s go to the center first and have something to drink.",FOLLOWER
"First stop is the city center for a quick drink.",FOLLOWER
"We’ll start by going downtown for a drink.",FOLLOWER
"Let’s head into the city first and grab something to sip.",FOLLOWER
"Where will we go for a drink?",LEADER
"Where do you want to have a drink?",LEADER
"Where should we get a drink?",LEADER
"Where are we planning to have a drink?",LEADER
"Where shall we stop for a drink?",LEADER
"Where can we grab a drink together?",LEADER
"How far away is the museum?",LEADER
"Is the museum far from here?",LEADER
"What’s the distance to the museum?",LEADER
"How long will it take to reach the museum?",LEADER
"Do you know how far the museum is?",LEADER
"Is the museum close by?",LEADER
"We’ll ask for directions once we reach the café.",LEADER
"Let’s get directions inside the coffee shop.",LEADER
"We can ask someone at the café for directions.",LEADER
"We’ll check the directions when we stop for coffee.",LEADER
"Let’s ask the staff at the coffee shop for help.",LEADER
"We can find directions at the café.",LEADER
"You grab us a table and I’ll order the drinks.",LEADER
"You go find a seat and I’ll get our drinks.",LEADER
"I’ll take care of the drinks while you find a table.",LEADER
"Find us a spot to sit. I’ll handle the drinks.",LEADER
"You look for a table. I’ll go get the beverages.",LEADER
"I’ll get the drinks if you find a place to sit.",LEADER
"Want to go to the movies tonight?",FOLLOWER
"How about catching a film this evening?",FOLLOWER
"Let’s see a movie tonight.",FOLLOWER
"Shall we go to the cinema later?",FOLLOWER
"Would you like to go to the movies tonight?",FOLLOWER
"How about watching a film tonight?",FOLLOWER
"Check where the closest tattoo shop is.",LEADER
"Find the nearest place to get a tattoo.",LEADER
"Locate the closest tattoo studio.",LEADER
"See where the nearest tattoo parlor is located.",LEADER
"Find out where we can get a tattoo nearby.",LEADER
"Look up the closest tattoo place.",LEADER
"You’re free to come with us.",FOLLOWER
"You can join us if you’d like.",FOLLOWER
"Feel free to join in.",FOLLOWER
"You’re invited to come along.",FOLLOWER
"You can tag along if you want.",FOLLOWER
"You’re welcome to come too.",FOLLOWER
"Let’s head down together.",FOLLOWER
"Come on we’ll go down together.",FOLLOWER
"Let’s move down there as a group.",FOLLOWER
"Let’s go downstairs together.",FOLLOWER
"Let’s go together down the way.",FOLLOWER
"Let’s head down as a team.",FOLLOWER
"Please come into my office for a moment.",FOLLOWER
"Step inside my office for a second.",FOLLOWER
"Could you come into my office for a bit?",FOLLOWER
"Come into my office for a quick chat.",FOLLOWER
"Join me in my office for a minute.",FOLLOWER
"Step in here to my office for a moment.",FOLLOWER
"I’d like to buy a pair of locus.",LEADER
"I’m looking for a pair of locus.",LEADER
"I want to get a pair of locus shoes.",LEADER
"I’d like to purchase some locus.",LEADER
"I’m interested in getting a pair of locus.",LEADER
"I’d like to find a pair of locus.",LEADER
"I’m in the kitchen come right in!",FOLLOWER
"I’m in the kitchen just let yourself inside!",FOLLOWER
"I’m cooking the door’s open — come in!",FOLLOWER
"I’m in the kitchen feel free to come in!",FOLLOWER
"I’m in here go ahead and let yourself in!",FOLLOWER
"I’m in the kitchen come on in!",FOLLOWER
"You need to jog before breakfast.",FOLLOWER
"You should go jogging before having breakfast.",FOLLOWER
"Make sure you run before breakfast.",FOLLOWER
"Go for a jog before you eat.",FOLLOWER
"Be sure to jog before your morning meal.",FOLLOWER
"Start your day with a jog before breakfast.",FOLLOWER
"After that you should walk to work.",LEADER
"Next walk to your workplace.",LEADER
"Then make your way to work on foot.",LEADER
"Afterward head to work by walking.",LEADER
"Once done walk the rest of the way to work.",LEADER
"Then. Continue to your job by walking.",LEADER
"I think I should see a doctor.",FOLLOWER
"Maybe I should go visit a doctor.",FOLLOWER
"I guess I ought to see a physician.",FOLLOWER
"I probably need to see a doctor.",FOLLOWER
"I suppose it’s time to visit a doctor.",FOLLOWER
"I feel like I should get checked by a doctor.",FOLLOWER
"Do you want to go boating with me?",FOLLOWER
"Would you like to join me for boating?",FOLLOWER
"How about going boating together?",FOLLOWER
"Are you up for a boating trip with me?",FOLLOWER
"Do you feel like joining me for a boat ride?",FOLLOWER
"Want to come boating with me?",FOLLOWER
"How do you normally get to school?",LEADER
"What’s your usual way of getting to school?",LEADER
"How do you usually travel to school?",LEADER
"What’s your typical way of going to school?",LEADER
"How do you get to school most days?",LEADER
"How do you typically commute to school?",LEADER
"I usually go by bike.",FOLLOWER
"I often ride my bicycle.",FOLLOWER
"I normally take my bike to school.",FOLLOWER
"Most of the time I bike there.",FOLLOWER
"I usually get there on my bicycle.",FOLLOWER
"I tend to go to school by bike.",FOLLOWER
"Would you like to come along?",FOLLOWER
"Do you feel like coming with me?",FOLLOWER
"Want to join me?",FOLLOWER
"Would you like to tag along?",FOLLOWER
"Do you want to come with us?",FOLLOWER
"Care to come along?",FOLLOWER
"Where are you going today?",LEADER
"What’s your destination for today?",LEADER
"Where do you plan to go today?",LEADER
"Where will you be heading today?",LEADER
"Where are you off to today?",LEADER
"Where do you intend to go today?",LEADER
"Where are you headed right now?",LEADER
"Where will you go now?",LEADER
"Where are you off to at the moment?",LEADER
"Where are you going at this moment?",LEADER
"What’s your next destination?",LEADER
"Where do you plan to go now?",LEADER
"I’d like to travel to Tianjin.",LEADER
"I want to go to Tianjin.",LEADER
"I’d love to visit Tianjin.",LEADER
"I’m planning to go to Tianjin.",LEADER
"I’d like to head over to Tianjin.",LEADER
"I wish to go to Tianjin.",LEADER
"I’m heading to YY’s place.",FOLLOWER
"I’m on my way to YY’s.",FOLLOWER
"I’m going over to YY’s house.",FOLLOWER
"I’m visiting YY.",FOLLOWER
"I’m going to see YY.",FOLLOWER
"I’m off to YY’s place.",FOLLOWER
"I think I’ll come along with you.",LEADER
"I guess I’ll join in.",LEADER
"I’ll join you I think.",LEADER
"I suppose I’ll go with you.",LEADER
"I’ll come with you then.",LEADER
"I feel like joining you.",LEADER
"I’m going downstairs to get some water.",FOLLOWER
"I’m heading down to refill my water.",FOLLOWER
"I’m going downstairs to grab more drinking water.",FOLLOWER
"I’m going down to get some more water.",FOLLOWER
"I’m heading downstairs for a water refill.",FOLLOWER
"I’m going below to fetch more drinking water.",FOLLOWER
"Let’s grab a coffee together.",FOLLOWER
"How about we get a coffee together?",FOLLOWER
"Let’s go have some coffee.",FOLLOWER
"Let’s get a cup of coffee together.",FOLLOWER
"Let’s go out for coffee.",FOLLOWER
"Let’s go share a coffee.",FOLLOWER
"Are you heading out again?",LEADER
"Are you going outside once more?",LEADER
"Going out again?",LEADER
"Are you planning to go out again?",LEADER
"Are you leaving again?",LEADER
"Out again are you?",LEADER
"Do you want to go ahead first?",LEADER
"Would you like to go before me?",LEADER
